Cantón;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
San José Cantón Central;113364,3073;112008,9108;113145,1613;118337,3398;125441,4257;125738,5225;126467,4046;132253,2695;139028,4634;141441,0978;149264,6439;159905,501;160756,3864;164117,2291;167382,5185;170552,3423;173117,8154;175599,1502;177996,4028;180310,3067;182225,5478;183613,307;184934,8068;186197,2849;187386,4556;188501,4488;158646;166603;176652;178694;180604
Escazú;17053,70307;17091,82767;17513,63098;18581,36678;19981,33576;20318,53006;20732,72252;21996,42166;23460,21715;24215,98379;25929,72273;28186,14726;28753,42898;29788,12338;30830,87548;31881,61047;32843,68948;33812,85267;34789,0281;35772,27586;36699,01163;37539,92071;38386,44133;39240,03135;40097,63406;40958,91905;30846;32446;34476;34935;35375
Desamparados;56523,48048;56825,81072;58406,25829;62153,63143;67034,6137;68364,89609;69959,1409;74433,56848;79608,48008;82399,04079;88469,43877;96424,96364;98624,57757;102438,7187;106295,8766;110195,7392;113803,3986;117448,8917;121131,9216;124852,6509;128388,5902;131635,3533;134912,0429;138223,7592;141559,711;144918,6581;105536;111200;118306;120032;121663
Aserrí;14231,99132;14201,81753;14489,57114;15307,2144;16390,69067;16597,17249;16864,82754;17818,69213;18926,41324;19456,51307;20749,19666;22464,326;22825,22933;23553,19759;24282,14465;25012,03063;25667,35129;26323,5275;26980,51982;27638,39126;28248,21499;28788,07172;29328,62113;29870,98531;30412,84582;30953,97802;27194;28645;30473;30902;31313
Mora;5961,51347;5991,480207;6156,179338;6549,139513;7061,307114;7199,291177;7365,019732;7833,81603;8376,085441;8667,28871;9303,273073;10137,13818;10365,64597;10763,72479;11166,16262;11572,92724;11948,85539;12328,61723;12712,18209;13099,56751;13467,43576;13804,85607;14145,30911;14489,3299;14835,78748;15184,55264;13441;14122;14993;15171;15346
Goicoechea;38944,98207;38777,40115;39476,69945;41613,43769;44461,93878;44924,21975;45549,66718;48021,70376;50896,75066;52209,35213;55558,13849;60021,16787;60854,45618;62660,64071;64461,62421;66257,32842;67848,19594;69434,4703;71016,07178;72593,19047;74037,61415;75292,85219;76544,51337;77795,53862;79039,90246;80277,06027;61493;64672;68695;69574;70419
Santa Ana;10341,16939;10437,1753;10768,5059;11502,30058;12450,99543;12743,55665;13086,43573;13971,18037;14992,70142;15569,29462;16770,15684;18335,89651;18812,1846;19598,96071;20397,37861;21207,36643;21964,27436;22731,4234;23508,74574;24296,26267;25050,55339;25750,84941;26459,24006;27176,72051;27901,16387;28632,30967;25361;26761;28528;28992;29440
Alajuelita;17565,40586;17883,60982;18607,20876;20037,36846;21861,15555;22545,58321;23323,19988;25078,12393;27098,23708;28329,42527;30713,28718;33793,11884;34883,70518;36559,26404;38268,97595;40012,66238;41667,63525;43352,65729;45067,5618;46812,35268;48502,92364;50097,62867;51716,06901;53360,17159;55025,7419;56712,20963;38545;40837;43685;44545;45370
Vásquez de Coronado;14334,54346;14629,39894;15256,37071;16465,14533;18001,63204;18602,68831;19281,54366;20770,85068;22484,02209;23545,85474;25569,27685;28177,93551;29131,78005;30576,05921;32051,47024;33557,85463;34992,1711;36453,87926;37942,8314;39459,02341;40931,47127;42324,74478;43739,65245;45177,82042;46635,69376;48112,77807;30899;32552;34629;35125;35587
Tibás;26485,83538;26174,27633;26445,03933;27664,16326;29330,91694;29406,50321;29583,22372;30943,30465;32535,60935;33107,57628;34946,75937;37446,67317;37654,74192;38451,11997;39225,64693;39978,34147;40589,88639;41182,19039;41755,26485;42309,28014;42770,22696;43107,79904;43430,21946;43739,187;44031,34487;44306,48557;37950;39879;42339;42859;43373
Moravia;16619,5751;16619,76528;16992,51485;17989,28779;19303,02161;19586,95829;19944,09362;21115,55212;22474,1829;23150,71366;24738,83782;26837,67764;27323,42683;28250,96977;29182,93925;30119,27578;30968,86832;31822,34959;32679,66178;33540,8711;34346,4786;35069,43335;35795,4774;36525,9751;37258,0862;37991,51918;28190;29537;31261;31558;31845
Montes de Oca;19979,58645;19765,55682;19991,56977;20936,08324;22222,13684;22304,52934;22464,25721;23524,35359;24764,07543;25229,61577;26663,5717;28606,26152;28801,32505;29447,97249;30080,08252;30697,66157;31208,9603;31707,45718;32193,15383;32666,17438;33069,2889;33378,7739;33678,1807;33968,82281;34248,08929;34515,80631;29409;30746;32463;32693;32923
Curridabat;18073,72908;18304,54927;18948,96264;20306,10055;22050,44891;22637,94373;23316,51767;24965,25204;26866,388;27976,42502;30215,02375;33122,29102;34069,11749;35581,99195;37121,05499;38686,15807;40159,07908;41655,03994;43173,90119;44715,68692;46200,30276;47588,86311;48995,62789;50422,43251;51865,32332;53323,79314;34785;36578;38844;39342;39819
Alajuela Cantón Central;64603,49753;64801;66454,21735;70563,57245;75942,57042;77288,02736;78929,01748;83809,65562;89461,65182;92421,08182;99044,87378;102243,7774;110006,6246;114059,8472;118150,8269;122279,5576;126075,0498;129904,2784;133767,2382;137663,925;141349,9006;144711,2387;148100,4018;151521,0941;154963,395;158430,6542;133364;140869;150272;152833;155294
Atenas;6979,632467;6926;7027,075768;7382,070966;7860,195318;7914,34916;7996,480726;8400,777359;8872,15845;9068,466465;9615,423917;9820,868259;10454,68801;10725,23139;10992,44861;11256,34031;11483,11736;11706,92324;11927,75853;12145,62389;12339,18205;12499,26946;12656,98233;12812,63353;12965,38277;13115,52356;12819;13497;14362;14561;14756
Poás;6975,823478;7004;7189,18533;7640,798805;8230,752095;8384,120719;8569,751081;9107,66415;9730,308774;10060,80933;10790,99577;11148,83847;12005,22883;12457,73194;12914,96868;13376,93827;13803,02369;14233,33861;14667,88233;15106,65432;15522,81068;15903,7709;16288,21276;16676,54397;17067,6728;17461,96698;14091;14902;15917;16206;16483
Cartago Cantón Central;40410,99827;40205;40897,87658;43077,15631;45988,97332;46429,72604;47038,06142;49550,58235;52474,29408;53783,43711;57186,03459;58571,82022;62528,59359;64329,4862;66121,6446;67905,06813;69475,32292;71037,81636;72592,54974;74139,53448;75548,12753;76760,87325;77967,61958;79170,2923;80365,26816;81549,67183;72322;75978;80618;81562;82456
Paraíso;13810,31664;13888;14277,93758;15198,2785;16396,55945;16726,93331;17122,25283;18223,09629;19496,33947;20186,4407;21680,93748;22429,84687;24184,59786;25128,4953;26083,76377;27050,38618;27946,11305;28851,95894;29767,90943;30693,95422;31575,47576;32386,66365;33206,1063;34034,62247;34870,65395;35712,91185;26850;28230;29975;30343;30692
La Unión;22049,80711;22301;23056,613;24677,70598;26766,40131;27449,14248;28242,2064;30209,03581;32478,6558;33790,12531;36462,75234;37896,28846;41045,65424;42836,40085;44657,70279;46509,51822;48249,82842;50017,32636;51811,97619;53633,74914;55386,82951;57024,674;58684,59937;60368,05152;62072,26625;63794,92114;48459;51066;54344;55145;55902
Alvarado;3712,792253;3681;3730,572137;3915,085348;4164,431694;4188,843403;4227,965198;4437,134577;4681,230297;4779,792938;5062,733308;5165,419279;5492,934279;5629,00507;5762,988917;5894,887267;6007,025729;6117,308398;6225,736723;6332,313025;6425,926493;6501,850861;6576,301995;6649,442459;6720,967993;6790,641825;6609;6936;7357;7435;7510
Oreamuno;11411,25362;11394;11632,39458;12296,54031;13175,20418;13349,58245;13573,41412;14350,16136;15251,87322;15688,95178;16741,88658;17209,66534;18438,7689;19038,51955;19639,79068;20242,57741;20785,71225;21330,20226;21876,04366;22423,23573;22932,11849;23384,75269;23838,55464;24294,11274;24750,31501;25206,26444;21510;22586;23956;24225;24479
El Guarco;9829,115321;9824;10039,27946;10622,81636;11392,93243;11554,87914;11759,92418;12444,80383;13239,40507;13631,74335;14560,36445;14981,27769;16066,27297;16604,33209;17144,63894;17687,18823;18178,4839;18671,78138;19167,07645;19664,36757;20128,84196;20544,6441;20962,12546;21381,80335;21802,69906;22224,01994;19703;20726;22020;22312;22587
Heredia Cantón Central;29438,39956;29817;30872,43641;33094,16001;35952,69716;36930,71466;38062,41773;40784,36681;43927,17571;45784,83955;49498,87833;51543,26942;55935,32244;58491,52035;61101,41663;63765,3966;66288,78514;68861,70563;71484,49707;74157,49765;76748,32475;79191,83735;81678,17799;84209,68058;86782,79465;89394,55301;62649;66031;70283;71340;72358
Barva;9353,020359;9375;9605,62046;10189,93573;10955,23126;11136,58277;11358,96325;12045,30513;12839,33543;13244,00445;14170,47038;14603,42897;15684,31067;16231,95409;16781,45963;17332,68262;17833,00426;18334,42053;18836,80418;19340,02857;19809,711;20230,05705;20650,48257;21071,40239;21491,75349;21910,65574;19826;20953;22362;22755;23131
Santo Domingo;11525,72987;11482;11692,615;12326,2078;13167,64107;13299,09974;13475,57124;14194,41961;15027,46219;15394,17188;16355,52629;16735,02257;17843,27777;18330,01441;18808,23572;19277,57348;19679,752;20072,86506;20456,58869;20830,60038;21157,99072;21422,7827;21678,05108;21924,07472;22159,58989;22383,55654;21720;22836;24250;24557;24862
Santa Bárbara;8252,371787;8276;8484,877667;9006,198633;9688,215023;9854,363338;10057,08241;10671,1232;11381,41448;11747,26495;12576,73419;12969,01757;13937,62509;14433,37096;14931,48087;15431,83985;15887,58319;16344,987;16803,95015;17264,37203;17695,5518;18083,32116;18471,8024;18861,37705;19251,10409;19640,204;17892;18935;20236;20615;20985
San Rafael;11168,89052;11200;11480,89043;12184,85143;13106,01867;13329,18026;13601,73445;14430,43353;15389,05635;15881,7574;17001,03067;17529,09717;18835,87798;19503,34025;20173,80162;20847,10297;21459,93859;22074,82844;22691,63253;23310,2116;23889,1159;24409,23447;24930,13812;25452,33891;25974,5641;26495,7595;23507;24800;26418;26834;27234
San Isidro;4400,374189;4441;4583,020161;4896,130441;5301,095937;5427,07891;5574,816188;5953,810916;6391,649659;6640,347996;7155,910853;7427,67292;8035,055688;8375,835781;8722,268599;9074,37002;9404,482582;9739,711967;10080,07215;10425,57711;10757,63781;11067,28278;11381,21661;11699,73714;12022,32382;12348,54289;10063;10587;11256;11404;11545
Belén;6050,240773;6078;6242,239476;6637,342368;7152,523745;7288,060734;7451,237013;7920,354045;8462,798134;8750,704704;9385,728013;9696,306393;10439,81025;10831,32628;11226,18784;11624,33898;11990,44134;12359,3144;12730,90895;13105,17605;13458,79289;13780,85196;14104,86802;14431,15542;14759,01738;15087,87574;11751;12355;13118;13282;13441
Flores;4600,385252;4604;4710,477401;4989,405451;5355,86268;5436,043494;5535,861183;5861,00551;6237,303387;6423,410552;6861,428925;7059,287099;7569,004342;7819,930772;8070,713625;8321,263127;8546,341718;8770,938009;8994,973026;9218,368168;9424,747099;9606,682865;9787,714717;9968,023924;10147,09216;10324,49089;10486;11055;11769;11950;12124
San Pablo;6096,137966;6146;6334,553137;6759,574041;7310,311429;7475,529127;7670,323014;8182,521244;8774,366334;9105,546607;9801,536496;10162,43395;10981,23635;11434,29874;11894,09795;12360,63676;12796,26411;13237,92592;13685,62462;14139,36275;14573,94036;14977,28161;15385,59056;15799,25628;16217,5623;16639,91221;13886;14556;15418;15570;15717
